Métrique,supervisor mean,supervisor std,supervisor median,hierarchical mean,hierarchical std,hierarchical median,decentralized mean,decentralized std,decentralized median
MCP calls,41.6,3.3731,41.0,41.4444,5.1505,42,40.4286,3.645,41
Redondants,8.7,1.767,8.0,7.7778,1.5635,7,8.1429,1.8645,7
Taux redondance,0.2096,0.0407,0.2078,0.187,0.0232,0.1765,0.2012,0.0382,0.1951
Volume données (B),798858.1,895446.7014,422223.5,619401.5556,482741.225,396649,829806.4286,531647.2266,571944
Coût total ($),1.7097,0.4687,1.5476,1.7865,0.3064,1.7559,2.1479,0.4142,2.1905
Overhead LLM ($),0.0327,0.0019,0.0328,0.0659,0.0033,0.0666,0.013,0.0006,0.013
Durée (s),548.3581,44.6206,554.034,575.4446,53.4955,585.7856,532.5243,26.4577,525.7963
Tokens input,540957,184756.2822,491320.0,552440.8889,113745.2566,534912,667909.1429,139438.7651,685666
Tokens output,23567.7,1836.9079,23776.0,24898.4444,2164.2171,25960,23159.1429,787.0374,23074
Cache read,98775.5,45917.7804,79720.0,90478.3333,38706.9281,88141,75259.1429,12115.5665,74737
